De,Para,Contagem
-3. recent,-2. trends,1
-2. trends,-1. of,1
-1. of,+0. energy,6
+0. energy,+1. usage,1
+1. usage,+2. from,1
+2. from,+3. renewable,1
-1. the,+0. energy,2
+0. energy,+1. industry,1
+1. industry,+2. is,1
+2. is,+3. at,1
-3. performance,-2. of,1
-2. of,-1. home,1
-1. home,+0. energy,1
+0. energy,+1. management,4
+1. management,+2. controller,1
+2. controller,+3. which,1
-3. meanwhile,-2. embedding,1
-2. embedding,-1. the,1
+0. energy,+1. harvesting,1
+1. harvesting,+2. capabilities,1
+2. capabilities,+3. in,1
-3. prime,-2. sources,1
-2. sources,-1. of,1
+0. energy,+1. such,1
+1. such,+2. as,1
+2. as,+3. coal,1
-3. model,-2. for,1
-2. for,-1. renewable,1
-1. renewable,+0. energy,7
+0. energy,+1. resources,3
+1. resources,+2. computational,1
+2. computational,+3. intelligence,1
-3. used,-2. for,1
-2. for,-1. solving,1
-1. solving,+0. energy,1
+1. management,+2. problems,1
+2. problems,+3. in,1
+0. energy,+1. storage,1
+1. storage,+2. technology,1
+2. technology,+3. plays,1
-3. sustainable,-2. and,1
-2. and,-1. renewable,2
+0. energy,+1. systems,1
+1. systems,+2. the,1
+2. the,+3. heat,1
-3. of,-2. variable,1
-2. variable,-1. renewable,1
+0. energy,+1. and,1
+1. and,+2. development,1
+2. development,+3. of,1
-2. efficient,-1. building,1
-1. building,+0. energy,1
+1. management,+2. is,1
+2. is,+3. essential,1
-3. is,-2. the,1
-2. the,-1. smart,1
-1. smart,+0. energy,1
+0. energy,+1. domain,1
+1. domain,+2. critical,1
+2. critical,+3. issues,1
-3. a,-2. hybrid,1
-2. hybrid,-1. renewable,1
+0. energy,+1. system,1
+1. system,+2. hres,1
+2. hres,+3. that,1
-3. smart,-2. scheduling,1
-2. scheduling,-1. of,1
+0. energy,+1. consuming,1
+1. consuming,+2. devices,1
+2. devices,+3. in,1
-3. and,-2. policies,1
-2. policies,-1. for,1
-1. for,+0. energy,2
+0. energy,+1. saving,1
+1. saving,+2. are,1
+2. are,+3. urgently,1
-3. presented,-2. to,1
-2. to,-1. find,1
-1. find,+0. energy,1
+0. energy,+1. scheduling,1
+1. scheduling,+2. in,1
+2. in,+3. mg,1
-3. automation,-2. system,1
-2. system,-1. for,1
+1. management,+2. of,1
+2. of,+3. a,1
-3. load,-2. consumption,1
-2. consumption,-1. hourly,1
-1. hourly,+0. energy,1
+0. energy,+1. price,1
+1. price,+2. and,1
+2. and,+3. renewable,1
-3. the,-2. generation,1
-2. generation,-1. of,1
+0. energy,+1. from,1
+1. from,+2. renewable,1
+2. renewable,+3. sources,1
-3. have,-2. the,1
-2. the,-1. higher,1
-1. higher,+0. energy,1
+0. energy,+1. consumption,1
+1. consumption,+2. prior,1
+2. prior,+3. studies,1
-3. large,-2. amounts,1
-2. amounts,-1. of,1
+0. energy,+1. in,1
+1. in,+2. various,1
+2. various,+3. forms,1
-3. rapid,-2. development,1
-2. development,-1. of,1
+0. energy,+1. buildings,1
+1. buildings,+2. advanced,1
+2. advanced,+3. energy,1
-3. conventional,-2. and,1
+0. energy,+1. sources,2
+1. sources,+2. operating,1
+2. operating,+3. in,1
-3. use,-2. of,1
-2. of,-1. renewable,1
+1. resources,+2. in,1
+2. in,+3. the,1
-3. communication,-2. infrastructure,1
-2. infrastructure,-1. distributed,1
-1. distributed,+0. energy,1
+1. resources,+2. and,1
+2. and,+3. electric,1
-3. system,-2. with,1
-2. with,-1. renewable,1
+1. sources,+2. is,1
+2. is,+3. very,1
